name,color,category,breadcrumbs,description
Running Ultralight Crew Performance Socks,Green,Accessories,Training/Accessories,"Mile after mile, these adidas running socks stay in place and keep you dry. AEROREADY is thin for a sleek feel. It hugs your foot securely like a second skin.

This product is made with Primegreen, a series of high-performance recycled materials."
Running Ultralight Crew Performance Socks,White,Accessories,Training/Accessories,"Mile after mile, these adidas running socks stay in place and keep you dry. AEROREADY is thin for a sleek feel. It hugs your foot securely like a second skin.

This product is made with Primegreen, a series of high-performance recycled materials."
Finale 21 20th Anniversary UCL Mini Ball,White,Accessories,Men/Accessories,Celebrate two decades of star-studded soccer with this adidas Finale 21 Mini Ball. It's decorated with panel designs from every UCL Finale ball since it made its debut in Europe's top tournament. The seamless laminated surface and foam core mean you can show off your sparkling skills without stopping to pump it up.
HER Studio London Track Jacket,Multicolor,Clothing,Women/Clothing,"When HER Studio London is involved, you know that means bold colors and wild prints. So no surprise that this adidas track jacket stands out wherever you are. 

Part of our ongoing collaboration with the powerhouse studio behind some of the most expressive patterns around, this jacket is an update of the classic silhouette. Signature details pop against the loud floral print, rooting the look in adidas DNA."
Warp knit Cargo Pants,Blue,Clothing,Men/Clothing,"Work on your swing at the driving range or play a round. These adidas golf pants have a flexible warp knit fabric for enhanced breathability and an unrestricted range of motion on the course. A modern, tapered cut adds to their casual feel. Use the zip cargo pocket for your scorecard or tees.

This product is made with Primegreen, a series of high-performance recycled materials."
Essentials 3-Stripes Cropped Hoodie,Purple,Clothing,Women/Clothing,"Who said hoodies had to have that XXL vibe? This cropped take on the always-cozy pullover hoodie is proof that the relaxed fit does just fine without all that extra bulk. Iconic 3-Stripes down both arms and the adidas Badge of Sport give your look instant streetwear cred. 

This product is made with recycled content as part of our ambition to end plastic waste."
Marathon Running Jacket (Plus Size),Black,Clothing,Women/Clothing,"Prepare yourself for the long run. And the wet and windy ones, too. Zip into the light, breathable protection of this adidas running jacket made with recycled materials. You'll feel dry and serene, even if the weather isn't.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic."
SAMBAROSE Shoes,Pink,Shoes,Women/Shoes,"These adidas SAMBAROSE Shoes take the Samba's classic soccer look and raises it to new heights. A platform sole puts a trendy spin on this sporty silhouette. A tie-dyed upper gives them a colorful, eye-catching look.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
SAMBAROSE Shoes,Pink,Shoes,Women/Shoes,"These adidas SAMBAROSE Shoes take the Samba's classic soccer look and raises it to new heights. A platform sole puts a trendy spin on this sporty silhouette. A tie-dyed upper gives them a colorful, eye-catching look.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
AEROREADY Designed 2 Move Sport Tee,White,Clothing,Women/Clothing,"This adidas training tee has a simple design that you can wear as you get in those miles on the elliptical then head out to grab groceries. A long hem in the back gives extra coverage, whether you're doing a set of squats or just loading bags in and out of the car. Lightweight AEROREADY absorbs moisture and gives an overall comfy feel. 

This product is made with Primegreen, a series of high-performance recycled materials. It's also made with recycled content as part of our ambition to end plastic waste."
Designed 2 Move 7/8 Sport Tights (Maternity),Blue,Clothing,Women/Clothing,"These adidas maternity sport tights balance support with lightweight comfort. A high-rise elastic waist and specially designed maternity fit give you the confidence to move through your workout, whether it's a neighborhood jog, yoga class or circuit at the gym. Classic, minimalist adidas style is clean and crisp, and AEROREADY keeps you dry.

This product is made with Primegreen, a series of high-performance recycled materials."
Adilette Comfort Slides,Gold,Shoes,Women/Shoes,Some things stay the same. These adidas swim slides have been pampering athletes' feet since the '70s. The casual slip-on design is for quick trips between the pool and shower.
Adilette Comfort Slides,White,Shoes,Women/Shoes,Rejuvenate tired feet in these women's slides. The lightweight slides have a Cloudfoam Plus contoured footbed that delivers plush cushioning with every step. The classic design features a bandage upper with contrast 3-Stripes.
Essentials Mélange Embroidered Small Logo Hoodie,Green,Clothing,Men/Clothing,"Toss on this adidas sweatshirt for a cozy layer in cool weather. Pop the hood to cover up a case of bed head, then adjust the drawcord to get just the right fit. French terry brings the comfort for long days or some chill time at home.

This product is made with recycled content as part of our ambition to end plastic waste. Our cotton products support sustainable cotton farming."
Adilette Comfort Slides,Purple,Shoes,Women/Shoes,"From yoga on the beach directly to brunch? We've got you covered. You'll move with easy freedom all summer in these comfortable slip-ons. These adidas slides feature a playful floral print, giving you a kick of extra energy and style wherever you go."
adidas Sportswear Future Icons Logo Graphic Pants,Blue,Clothing,Men/Clothing,"Workout done. Endorphins pumping. No need to slow the vibe down, just throw on these adidas pants and keep it flowing. They're all about feeling good, as evident from the soft French terry fabric that settles you right into total, absolute comfort. Which is well deserved, we might add. Recycled materials go ahead and up the game. Because with these pants, they go beyond feeling good. They do good, too."
LOUNGEWEAR Essentials Logo Tee,White,Clothing,Women/Clothing,"The classic design on this heavyweight t-shirt makes it super easy to mix and match. Go sporty with a pair of track pants, or throw it on with jeans for a day out shopping. An oversize adidas Badge of Sport across the chest makes it clear you're a sports lover.

Our cotton products support sustainable cotton farming. This is part of our ambition to end plastic waste."
Classic 3-Stripes Swim Shorts,Black,Clothing,Men/Clothing,"Surfing, paddleboarding or just floating on a raft. Whatever you do in the water, these adidas swim shorts keep you comfortable. They have a very short length and inner briefs for full coverage. Lightweight, quick-drying fabric lets you transition easily from sea to land. 

Made with a series of  recycled materials, and at least 60% recycled content, this product represents just one of our solutions to help end plastic waste."
Designed 2 Move 7/8 Sport Tights (Maternity),Black,Clothing,Women/Clothing,"These adidas maternity sport tights balance support with lightweight comfort. A high-rise elastic waist and specially designed maternity fit give you the confidence to move through your workout, whether it's a neighborhood jog, yoga class or circuit at the gym. Classic, minimalist adidas style is clean and crisp, and AEROREADY keeps you dry.

This product is made with Primegreen, a series of high-performance recycled materials."
